Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,54,6.19,-8.22,0.00,100.00,-14.44,1.00,-0.39,Forward,-1.79,1.87,False,False,False,none,False,
1,55,6.16,-8.26,0.00,100.00,-16.27,1.00,0.00,Forward,-1.79,1.87,False,False,False,none,False,
1,56,6.13,-8.31,0.00,100.00,-18.10,1.00,0.39,Forward,-1.79,1.87,False,False,False,none,False,
1,57,6.10,-8.35,0.00,100.00,-19.94,1.00,0.78,Forward,-1.78,1.87,False,False,False,none,False,
1,58,6.07,-8.40,0.00,100.00,-21.77,1.00,1.17,Forward,-1.78,1.87,False,False,False,none,False,
1,59,6.04,-8.44,0.00,100.00,-22.78,1.00,1.31,Eat,-1.78,1.02,False,False,False,none,False,
1,60,6.04,-8.44,0.00,100.00,-22.78,1.00,1.31,Eat_Food,-1.77,0.00,True,False,True,food,False,
1,61,6.04,-8.44,0.00,100.00,-22.78,1.00,1.31,,-1.77,0.00,True,False,True,food,False,
1,1,-4.03,6.96,0.00,100.00,0.00,1.00,0.00,None,-1.77,0.00,False,False,True,food,False,
1,2,-4.06,6.91,0.00,100.00,0.00,1.00,0.00,Forward,-0.37,0.00,False,False,False,none,False,
1,3,-4.09,6.87,0.00,100.00,1.87,1.00,0.00,Forward,-0.37,1.87,False,False,False,none,False,
1,4,-4.12,6.82,0.00,100.00,3.74,1.00,0.00,Forward,-0.36,1.87,False,False,False,none,False,
1,5,-4.15,6.78,0.00,100.00,5.62,1.00,0.00,Forward,-0.36,1.87,False,False,False,none,False,
1,6,-4.18,6.73,0.00,100.00,7.49,1.00,0.00,Forward,-0.36,1.87,False,False,False,none,False,
1,7,-4.21,6.68,0.00,100.00,9.36,1.00,0.00,Forward,-0.35,1.87,False,False,False,none,False,
1,8,-4.24,6.64,0.00,100.00,11.23,1.00,0.00,Forward,-0.35,1.87,False,False,False,none,False,
1,9,-4.27,6.59,0.00,100.00,13.10,1.00,0.00,Forward,-0.35,1.87,False,False,False,none,False,
1,10,-4.30,6.55,0.00,100.00,14.97,1.00,0.00,Forward,-0.34,1.87,False,False,False,none,False,
1,11,-4.33,6.50,0.00,100.00,16.85,1.00,0.00,Forward,-0.34,1.87,False,False,False,none,False,
1,12,-4.36,6.46,0.00,100.00,18.72,1.00,0.00,Forward,-0.33,1.87,False,False,False,none,False,
1,13,-4.39,6.41,0.00,100.00,20.59,1.00,0.00,Forward,-0.33,1.87,False,False,False,none,False,
1,14,-4.42,6.37,0.00,100.00,22.46,1.00,0.00,Right,-0.33,1.87,False,False,False,none,False,
1,15,-4.45,6.32,0.00,100.00,22.46,1.00,0.00,Left,-0.32,0.00,False,False,False,none,False,
1,16,-4.48,6.28,0.00,100.00,22.46,1.00,0.00,Left,-0.32,0.00,False,False,False,none,False,
1,17,-4.51,6.23,0.00,100.00,22.46,1.00,0.00,Left,-0.32,0.00,False,False,False,none,False,
1,18,-4.54,6.19,0.00,100.00,22.46,1.00,0.00,Left,-0.31,0.00,False,False,False,none,False,
1,19,-4.57,6.14,0.00,100.00,22.46,1.00,0.00,Forward,-0.31,0.00,False,False,False,none,False,
1,20,-4.60,6.10,0.00,100.00,22.74,1.00,0.82,None,-0.31,0.86,False,False,False,none,False,
1,21,-4.63,6.05,0.00,100.00,22.74,1.00,0.82,None,-0.30,0.00,False,False,False,none,False,
1,22,-4.66,6.01,0.00,100.00,22.74,1.00,0.82,Eat,-0.30,0.00,False,False,False,none,False,
1,23,-4.66,6.01,0.00,100.00,22.74,1.00,0.82,Drink_Water,-0.30,0.00,True,False,True,water,False,
1,24,-4.66,6.01,0.00,100.00,22.74,1.00,0.82,,-0.30,0.00,True,False,True,water,False,
1,1,-7.03,9.96,0.00,100.00,0.00,1.00,0.00,None,-0.30,0.00,False,False,True,water,False,
1,2,-7.06,9.91,0.00,100.00,0.00,1.00,0.00,None,-0.13,0.00,False,False,False,none,False,
1,3,-7.09,9.87,0.00,100.00,0.00,1.00,0.00,Left,-0.13,0.00,False,False,False,none,False,
1,4,-7.12,9.82,0.00,100.00,0.00,1.00,0.00,Left,-0.13,0.00,False,False,False,none,False,
1,5,-7.15,9.78,0.00,100.00,0.00,1.00,0.00,Left,-0.13,0.00,False,False,False,none,False,
1,6,-7.18,9.73,0.00,100.00,0.00,1.00,0.00,Left,-0.13,0.00,False,False,False,none,False,
1,7,-7.21,9.68,0.00,100.00,0.00,1.00,0.00,Left,-0.13,0.00,False,False,False,none,False,
1,8,-7.24,9.64,0.00,100.00,0.00,1.00,0.00,Left,-0.12,0.00,False,False,False,none,False,
1,9,-7.27,9.59,0.00,100.00,0.00,1.00,0.00,Left,-0.12,0.00,False,False,False,none,False,
1,10,-7.30,9.55,0.00,100.00,0.00,1.00,0.00,Left,-0.12,0.00,False,False,False,none,False,
1,11,-7.33,9.50,0.00,100.00,0.00,1.00,0.00,Forward,-0.12,0.00,False,False,False,none,False,
1,12,-7.36,9.46,0.00,100.00,-1.83,1.00,-0.39,Forward,-0.12,1.87,False,False,False,none,False,
1,13,-7.39,9.41,0.00,100.00,-3.66,1.00,-0.78,Right,-0.12,1.87,False,False,False,none,False,
1,14,-7.42,9.37,0.00,100.00,-3.66,1.00,-0.78,Forward,-0.12,0.00,False,False,False,none,False,
1,15,-7.45,9.32,0.00,100.00,-5.49,1.00,-0.39,Forward,-0.12,1.87,False,False,False,none,False,
1,16,-7.48,9.28,0.00,100.00,-7.32,1.00,0.00,Left,-0.12,1.87,False,False,False,none,False,
1,17,-7.51,9.23,0.00,100.00,-7.32,1.00,0.00,Forward,-0.12,0.00,False,False,False,none,False,
1,18,-7.54,9.19,0.00,100.00,-9.15,1.00,-0.39,Right,-0.12,1.87,False,False,False,none,False,
1,19,-7.57,9.14,0.00,100.00,-9.15,1.00,-0.39,Forward,-0.12,0.00,False,False,False,none,False,
