Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType
1,18,-0.01,0.00,-0.03,1,0,-7.23,6.85,100.00,0,5.26,63.16,5.26,10.53,5.26,ResourceConsumed
3,1,-0.06,-0.06,-0.06,0,0,-7.00,7.00,100.00,0,0.00,0.00,0.00,0.00,0.00,MaxStepReached
4,1,0.00,0.00,0.00,0,0,-7.00,7.00,100.00,0,0.00,0.00,0.00,0.00,0.00,MaxStepReached
5,1,0.00,0.00,0.00,0,0,-7.00,7.00,100.00,0,0.00,0.00,0.00,0.00,0.00,MaxStepReached
