Wall time,Step,Value
1743569910.3469074,6,501.0
1743570391.788594,7,501.0
1743572327.2752092,11,501.0
1743572815.8958745,12,501.0
1743574218.8941073,15,430.0
1743574702.7482529,16,501.0
1743576169.0841727,19,501.0
1743576668.0699322,20,501.0
1743577154.3355856,21,501.0
1743579101.6581917,25,501.0
1743583489.5467577,34,501.0
1743584953.8149645,37,501.0
1743586898.8323772,41,501.0
1743587864.7261581,43,501.0
1743588831.609661,45,501.0
1743589317.037666,46,501.0
1743590283.3675842,48,501.0
1743591249.1500058,50,501.0
1743593179.8439863,54,501.0
1743593658.5262165,55,501.0
1743594138.8631065,56,501.0
1743594626.551323,57,501.0
1743595110.4755762,58,501.0
1743597988.1189747,64,501.0
1743598982.5820823,66,501.0
1743599464.0440855,67,501.0
1743599942.2708318,68,501.0
1743600424.699723,69,501.0
1743602130.2359183,72,501.0
1743602643.088262,73,501.0
1743603102.7344332,74,433.0
1743603602.4992273,75,501.0
1743606083.5979645,80,501.0
1743608693.1301792,85,501.0
1743610204.188667,88,501.0
1743610805.8885717,89,501.0
1743613976.0118248,95,501.0
1743618247.8061485,103,501.0
1743619479.066077,106,501.0
1743619978.3755782,107,486.0
1743623800.7880306,114,501.0
1743625473.5525904,117,501.0
1743626579.2627714,119,501.0
1743630267.2873492,126,384.0
1743630928.2458003,127,601.0
1743632518.0159059,130,501.0
1743633038.374302,131,501.0
1743636271.1996424,138,186.0
1743637275.9424088,140,501.0
1743637794.5844798,142,211.0
1743638058.1475515,143,254.0
1743638336.8688405,144,288.0
1743640678.508715,151,133.0
1743641780.5615592,156,154.0
1743641988.6419063,158,76.0
1743642148.103973,159,149.0
1743642289.4572847,160,116.0
1743643006.538152,163,94.0
1743643565.6655302,166,88.0
1743643817.1836185,168,119.0
1743643897.6555016,169,74.0
1743644160.798623,172,74.0
1743645173.542093,178,127.0
1743645271.312587,179,98.0
1743645749.9814203,181,144.0
1743646176.419811,184,161.0
1743646282.996917,186,44.0
1743646455.178019,187,145.0
1743646784.8590302,189,205.0
1743647016.1517391,191,123.0
1743647069.4956026,192,52.0
1743647734.1845183,199,31.0
1743649031.1591709,207,501.0
1743649125.47671,208,90.0
1743649216.8568766,209,88.0
1743649632.500055,213,109.0
1743650689.340973,223,75.0
1743650774.8680818,224,75.0
1743651142.2357368,226,191.0
1743651577.8724623,228,125.0
1743651858.8574097,230,148.0
1743652087.928282,233,68.0
1743652255.861865,234,151.0
1743652402.9839761,235,145.0
1743652738.7759998,238,131.0
1743654162.0601428,248,76.0
1743654692.4962986,250,167.0
1743655561.6851592,256,96.0
1743655829.5960379,259,43.0
1743655946.4617493,260,103.0
1743656067.8654668,261,121.0
1743656158.7804937,262,90.0
1743656551.214195,264,204.0
1743656925.6004875,268,93.0
1743657143.6514518,270,122.0
1743657408.7404642,272,178.0
1743657642.0272634,274,89.0
1743658175.1896322,279,67.0
1743658955.3020294,285,109.0
1743660536.5573428,292,272.0
1743660662.936147,293,121.0
1743661151.3536224,298,35.0
1743661266.6591523,299,113.0
1743661598.9829776,302,50.0
1743661717.192562,303,121.0
1743661882.7960353,304,152.0
1743662489.5659237,308,138.0
1743662692.9757218,309,176.0
1743662904.0965676,311,36.0
1743663259.772125,314,166.0
1743663614.8364773,318,85.0
1743663742.1257174,319,129.0
1743663873.486327,320,127.0
1743664058.3498027,321,188.0
1743664119.0857248,323,20.0
1743664615.4473994,326,88.0
1743664699.1927354,327,85.0
1743664785.978443,328,86.0
1743665001.9434454,331,57.0
1743665456.8199618,334,226.0
1743666345.4239082,340,146.0
1743666710.5124104,342,294.0
1743667494.3109384,345,274.0
1743667540.0324962,346,41.0
1743668344.572438,348,316.0
1743668454.4776149,349,111.0
1743669053.0753963,354,163.0
1743669223.9466648,355,178.0
1743669706.5431924,359,107.0
1743669984.0341165,361,136.0
1743670830.9049227,364,166.0
1743671641.485976,368,147.0
1743672281.108549,372,93.0
