Episode,GlobalStep,EpisodeStep,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,1,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none,False,
1,2,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,3,3,-7.04,6.97,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,4,4,-7.05,6.96,0.00,100.00,0.00,1.00,-12.00,Forward,-0.66,0.00,False,False,False,none,False,
1,5,5,-7.07,6.96,0.00,100.00,0.00,1.00,-10.13,None,-0.66,1.87,False,False,False,none,False,
1,6,6,-7.08,6.95,0.00,100.00,0.00,1.00,-10.13,Right,-0.66,0.00,False,False,False,none,False,
1,7,7,-7.09,6.94,0.00,100.00,0.00,1.00,-10.13,Right,-0.66,0.00,False,False,False,none,False,
1,8,8,-7.11,6.93,0.00,100.00,0.00,1.00,-10.13,Forward,-0.66,0.00,False,False,False,none,False,
1,9,9,-7.12,6.92,0.00,100.00,1.39,1.00,-8.88,Forward,-0.66,1.87,False,False,False,none,False,
1,10,10,-7.14,6.91,0.00,100.00,2.78,1.00,-7.62,Forward,-0.66,1.87,False,False,False,none,False,
1,11,11,-7.15,6.90,0.00,100.00,4.17,1.00,-6.37,Left,-0.66,1.87,False,False,False,none,False,
1,12,12,-7.16,6.89,0.00,100.00,4.17,1.00,-6.37,Left,-0.66,0.00,False,False,False,none,False,
1,13,13,-7.18,6.88,0.00,100.00,4.17,1.00,-6.37,Left,-0.66,0.00,False,False,False,none,False,
1,14,14,-7.19,6.87,0.00,100.00,4.17,1.00,-6.37,Forward,-0.66,0.00,False,False,False,none,False,
1,15,15,-7.20,6.87,0.00,100.00,3.41,1.00,-4.66,Right,-0.66,1.87,False,False,False,none,False,
1,16,16,-7.22,6.86,0.00,100.00,3.41,1.00,-4.66,Right,-0.66,0.00,False,False,False,none,False,
1,17,17,-7.23,6.85,0.00,100.00,3.41,1.00,-4.66,Forward,-0.66,0.00,False,False,False,none,False,
1,18,18,-7.24,6.84,0.00,100.00,4.17,1.00,-2.95,Forward,-0.66,1.87,False,False,False,none,False,
1,19,19,-7.26,6.83,0.00,100.00,4.93,1.00,-1.24,None,-0.66,1.87,False,False,False,none,False,
1,20,20,-7.27,6.82,0.00,100.00,4.93,1.00,-1.24,None,-0.66,0.00,False,False,False,none,False,
1,21,21,-7.28,6.81,0.00,100.00,4.93,1.00,-1.24,Forward,-0.66,0.00,False,False,False,none,False,
1,22,22,-7.30,6.80,0.00,100.00,5.70,1.00,0.47,Forward,-0.66,1.87,False,False,False,none,False,
1,23,23,-7.31,6.79,0.00,100.00,6.46,1.00,2.18,Right,-0.67,1.87,False,False,False,none,False,
1,24,24,-7.32,6.78,0.00,100.00,6.46,1.00,2.18,Forward,-0.67,0.00,False,False,False,none,False,
1,25,25,-7.34,6.78,0.00,100.00,7.85,1.00,3.43,Forward,-0.67,1.87,False,False,False,none,False,
1,26,26,-7.35,6.77,0.00,100.00,9.24,1.00,4.68,Left,-0.67,1.87,False,False,False,none,False,
1,27,27,-7.36,6.76,0.00,100.00,9.24,1.00,4.68,Left,-0.67,0.00,False,False,False,none,False,
1,28,28,-7.38,6.75,0.00,100.00,9.24,1.00,4.68,Left,-0.67,0.00,False,False,False,none,False,
1,29,29,-7.39,6.74,0.00,100.00,9.24,1.00,4.68,Left,-0.67,0.00,False,False,False,none,False,
1,30,30,-7.41,6.73,0.00,100.00,9.24,1.00,4.68,None,-0.67,0.00,False,False,False,none,False,
1,31,31,-7.42,6.72,0.00,100.00,9.24,1.00,4.68,None,-0.67,0.00,False,False,False,none,False,
1,32,32,-7.43,6.71,0.00,100.00,9.24,1.00,4.68,Left,-0.67,0.00,False,False,False,none,False,
1,33,33,-7.45,6.70,0.00,100.00,9.24,1.00,4.68,Left,-0.67,0.00,False,False,False,none,False,
1,34,34,-7.46,6.69,0.00,100.00,9.24,1.00,4.68,Forward,-0.67,0.00,False,False,False,none,False,
1,35,35,-7.47,6.69,0.00,100.00,7.38,1.00,4.49,Left,-0.67,1.87,False,False,False,none,False,
1,36,36,-7.49,6.68,0.00,100.00,7.38,1.00,4.49,Left,-0.67,0.00,False,False,False,none,False,
1,37,37,-7.50,6.67,0.00,100.00,7.38,1.00,4.49,Left,-0.67,0.00,False,False,False,none,False,
1,38,38,-7.51,6.66,0.00,100.00,7.38,1.00,4.49,Forward,-0.67,0.00,False,False,False,none,False,
1,39,39,-7.53,6.65,0.00,100.00,6.99,1.00,2.66,Forward,-0.67,1.87,False,False,False,none,False,
1,40,40,-7.54,6.64,0.00,100.00,6.60,1.00,0.83,Right,-0.67,1.87,False,False,False,none,False,
1,41,41,-7.55,6.63,0.00,100.00,6.60,1.00,0.83,Right,-0.67,0.00,False,False,False,none,False,
1,42,42,-7.57,6.62,0.00,100.00,6.60,1.00,0.83,Forward,-0.67,0.00,False,False,False,none,False,
1,43,43,-7.58,6.61,0.00,100.00,4.98,1.00,-0.11,Left,-0.67,1.87,False,False,False,none,False,
1,44,44,-7.59,6.60,0.00,100.00,4.98,1.00,-0.11,None,-0.67,0.00,False,False,False,none,False,
1,45,45,-7.61,6.60,0.00,100.00,4.98,1.00,-0.11,Forward,-0.67,0.00,False,False,False,none,False,
1,46,46,-7.62,6.59,0.00,100.00,3.88,1.00,-1.62,Forward,-0.67,1.87,False,False,False,none,False,
1,47,47,-7.63,6.58,0.00,100.00,2.78,1.00,-3.14,Left,-0.67,1.87,False,False,False,none,False,
1,48,48,-7.65,6.57,0.00,100.00,2.78,1.00,-3.14,Forward,-0.67,0.00,False,False,False,none,False,
1,49,49,-7.66,6.56,0.00,100.00,2.39,1.00,-4.97,None,-0.67,1.87,False,False,False,none,False,
1,50,50,-7.68,6.55,0.00,100.00,2.39,1.00,-4.97,Right,-0.67,0.00,False,False,False,none,False,
1,51,51,-7.69,6.54,0.00,100.00,2.39,1.00,-4.97,None,-0.67,0.00,False,False,False,none,False,
1,52,52,-7.70,6.53,0.00,100.00,2.39,1.00,-4.97,Forward,-0.67,0.00,False,False,False,none,False,
1,53,53,-7.72,6.52,0.00,100.00,1.29,1.00,-6.48,Right,-0.67,1.87,False,False,False,none,False,
1,54,54,-7.73,6.51,0.00,100.00,1.29,1.00,-6.48,Right,-0.67,0.00,False,False,False,none,False,
1,55,55,-7.74,6.51,0.00,100.00,1.29,1.00,-6.48,Forward,-0.67,0.00,False,False,False,none,False,
1,56,56,-7.76,6.50,0.00,100.00,-0.57,1.00,-6.68,None,-0.67,1.87,False,False,False,none,False,
1,57,57,-7.77,6.49,0.00,100.00,-0.57,1.00,-6.68,Forward,-0.67,0.00,False,False,False,none,False,
1,58,58,-7.78,6.48,0.08,100.00,-2.43,1.00,-6.87,Forward,-0.67,1.87,False,False,False,none,False,
1,59,59,-7.80,6.47,0.23,100.00,-4.30,1.00,-7.07,Forward,-0.68,1.87,False,False,False,none,False,
1,60,60,-7.81,6.46,0.30,100.00,-6.16,1.00,-7.27,Left,-0.68,1.87,False,False,False,none,False,
1,61,61,-7.82,6.45,0.32,100.00,-6.16,1.00,-7.27,Left,-0.68,0.00,False,False,False,none,False,
1,62,62,-7.84,6.44,0.35,100.00,-6.16,1.00,-7.27,Left,-0.68,0.00,False,False,False,none,False,
1,63,63,-7.85,6.43,0.39,100.00,-6.16,1.00,-7.27,None,-0.68,0.00,False,False,False,none,False,
1,64,64,-7.86,6.42,0.43,100.00,-6.16,1.00,-7.27,Right,-0.68,0.00,False,False,False,none,False,
1,65,65,-7.88,6.42,0.46,100.00,-6.16,1.00,-7.27,Right,-0.68,0.00,False,False,False,none,False,
1,66,66,-7.89,6.41,0.49,100.00,-6.16,1.00,-7.27,Right,-0.68,0.00,False,False,False,none,False,
1,67,67,-7.90,6.40,0.53,100.00,-6.16,1.00,-7.27,Right,-0.68,0.00,False,False,False,none,False,
1,68,68,-7.92,6.39,0.57,100.00,-6.16,1.00,-7.27,Right,-0.68,0.00,False,False,False,none,False,
1,69,69,-7.93,6.38,0.60,100.00,-6.16,1.00,-7.27,Right,-0.68,0.00,False,False,False,none,False,
1,70,70,-7.95,6.37,0.63,100.00,-6.16,1.00,-7.27,Right,-0.68,0.00,False,False,False,none,False,
1,71,71,-7.96,6.36,0.68,100.00,-6.16,1.00,-7.27,Forward,-0.68,0.00,False,False,False,none,False,
1,72,72,-7.97,6.35,0.82,100.00,-6.16,1.00,-5.39,Forward,-0.68,1.87,False,False,False,none,False,
1,73,73,-7.99,6.34,0.89,100.00,-6.16,1.00,-3.52,Forward,-0.68,1.87,False,False,False,none,False,
1,74,74,-8.00,6.33,0.89,100.00,-6.16,1.00,-1.65,Forward,-0.68,1.87,False,False,False,none,False,
1,75,75,-8.01,6.33,0.88,100.00,-6.16,1.00,0.22,Forward,-0.68,1.87,False,False,False,none,False,
1,76,76,-8.03,6.32,0.88,100.00,-6.16,1.00,2.09,Left,-0.68,1.87,False,False,False,none,False,
1,77,77,-8.04,6.31,0.88,100.00,-6.16,1.00,2.09,None,-0.68,0.00,False,False,False,none,False,
1,78,78,-8.05,6.30,0.88,100.00,-6.16,1.00,2.09,Forward,-0.68,0.00,False,False,False,none,False,
1,79,79,-8.07,6.29,0.87,100.00,-6.92,1.00,3.80,None,-0.68,1.87,False,False,False,none,False,
1,80,80,-8.08,6.28,0.87,100.00,-6.92,1.00,3.80,None,-0.68,0.00,False,False,False,none,False,
1,81,81,-8.09,6.27,0.87,100.00,-6.92,1.00,3.80,Right,-0.68,0.00,False,False,False,none,False,
1,82,82,-8.11,6.26,0.86,100.00,-6.92,1.00,3.80,None,-0.69,0.00,False,False,False,none,False,
1,83,83,-8.12,6.25,0.86,100.00,-6.92,1.00,3.80,Forward,-0.69,0.00,False,False,False,none,False,
1,84,84,-8.13,6.24,0.86,100.00,-6.92,1.00,5.67,Forward,-0.69,1.87,False,False,False,none,False,
1,85,85,-8.15,6.24,0.86,100.00,-6.92,1.00,6.51,Eat,-0.69,0.84,False,False,False,none,False,
1,86,86,-8.15,6.24,0.86,100.00,-6.87,1.00,6.17,Eat_Food,-0.69,0.35,True,False,True,food,False,
2,87,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,None,-0.69,19.42,False,False,True,food,False,
2,88,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Right,-0.66,0.00,False,False,False,none,False,
2,89,3,-7.04,6.97,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,90,4,-7.05,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,91,5,-7.07,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,92,6,-7.08,6.95,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,93,7,-7.09,6.94,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,94,8,-7.11,6.93,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,95,9,-7.12,6.92,0.00,100.00,0.00,1.00,-12.00,Forward,-0.66,0.00,False,False,False,none,False,
2,96,10,-7.14,6.91,0.00,100.00,0.76,1.00,-10.29,Forward,-0.66,1.87,False,False,False,none,False,
2,97,11,-7.15,6.90,0.00,100.00,1.52,1.00,-8.58,Forward,-0.66,1.87,False,False,False,none,False,
2,98,12,-7.16,6.89,0.00,100.00,2.28,1.00,-6.87,Forward,-0.66,1.87,False,False,False,none,False,
2,99,13,-7.18,6.88,0.00,100.00,3.05,1.00,-5.16,Left,-0.66,1.87,False,False,False,none,False,
2,100,14,-7.19,6.87,0.00,100.00,3.05,1.00,-5.16,Forward,-0.66,0.00,False,False,False,none,False,
2,101,15,-7.20,6.87,0.00,100.00,3.05,1.00,-3.29,Right,-0.66,1.87,False,False,False,none,False,
2,102,16,-7.22,6.86,0.00,100.00,3.05,1.00,-3.29,Right,-0.66,0.00,False,False,False,none,False,
2,103,17,-7.23,6.85,0.00,100.00,3.05,1.00,-3.29,Right,-0.66,0.00,False,False,False,none,False,
2,104,18,-7.24,6.84,0.00,100.00,3.05,1.00,-3.29,None,-0.66,0.00,False,False,False,none,False,
2,105,19,-7.26,6.83,0.00,100.00,3.05,1.00,-3.29,Left,-0.66,0.00,False,False,False,none,False,
2,106,20,-7.27,6.82,0.00,100.00,3.05,1.00,-3.29,Forward,-0.66,0.00,False,False,False,none,False,
2,107,21,-7.28,6.81,0.00,100.00,4.44,1.00,-2.04,None,-0.66,1.87,False,False,False,none,False,
2,108,22,-7.30,6.80,0.00,100.00,4.44,1.00,-2.04,Left,-0.66,0.00,False,False,False,none,False,
2,109,23,-7.31,6.79,0.00,100.00,4.44,1.00,-2.04,Forward,-0.67,0.00,False,False,False,none,False,
2,110,24,-7.32,6.78,0.00,100.00,5.20,1.00,-0.33,None,-0.67,1.87,False,False,False,none,False,
2,111,25,-7.34,6.78,0.00,100.00,5.20,1.00,-0.33,Right,-0.67,0.00,False,False,False,none,False,
2,112,26,-7.35,6.77,0.00,100.00,5.20,1.00,-0.33,None,-0.67,0.00,False,False,False,none,False,
2,113,27,-7.36,6.76,0.00,100.00,5.20,1.00,-0.33,Left,-0.67,0.00,False,False,False,none,False,
2,114,28,-7.38,6.75,0.00,100.00,5.20,1.00,-0.33,Forward,-0.67,0.00,False,False,False,none,False,
2,115,29,-7.39,6.74,0.00,100.00,5.96,1.00,1.38,Forward,-0.67,1.87,False,False,False,none,False,
2,116,30,-7.41,6.73,0.00,100.00,6.72,1.00,3.09,Right,-0.67,1.87,False,False,False,none,False,
2,117,31,-7.42,6.72,0.00,100.00,6.72,1.00,3.09,Forward,-0.67,0.00,False,False,False,none,False,
