Wall time,Step,Value
1746933505.0518188,1,1555.0
1746933560.10196,2,1112.0
1746933674.6972418,4,1112.0
1746933805.515766,6,1112.0
1746933875.5372398,7,1112.0
1746933944.0580153,8,1112.0
1746934014.5396035,9,1112.0
1746934083.8636777,10,1112.0
1746934151.6367652,11,1112.0
1746934254.0139425,12,1667.0
1746934323.8036287,13,1112.0
1746934423.8180988,14,1667.0
1746934522.7769377,15,1667.0
1746934590.9674666,16,1112.0
1746934657.93975,17,1112.0
1746934726.6676867,18,1112.0
1746934809.1228025,19,1334.0
1746934877.1608593,20,1112.0
1746934944.2767143,21,1112.0
1746935044.48296,22,1667.0
1746935115.6062417,23,1112.0
1746935187.2971492,24,1112.0
1746935257.899034,25,1112.0
1746935328.8188345,26,1112.0
1746935433.4463089,28,1112.0
1746935639.8698008,31,1112.0
1746935709.4057446,32,1112.0
1746935778.398109,33,1112.0
1746935814.8706603,34,525.0
1746935884.3659375,35,1112.0
1746936007.831081,37,1334.0
1746936077.3374848,38,1112.0
1746936143.749444,39,1112.0
1746936213.8371484,40,1112.0
1746936284.3376021,41,1112.0
1746936413.5175712,43,1112.0
1746936484.916627,44,1112.0
1746936552.8640823,45,1112.0
1746936621.635007,46,1112.0
1746936687.6867309,47,1112.0
1746936754.693694,48,1112.0
1746936895.2397223,50,1112.0
1746936962.1564796,51,1112.0
1746937064.2377405,53,452.0
1746937130.7125666,54,1112.0
1746937197.7830617,55,1112.0
1746937265.3363655,56,1112.0
1746937332.4066362,57,1112.0
1746937400.9547007,58,1112.0
1746937537.9757318,60,1112.0
1746937608.46719,61,1112.0
1746937675.6045456,62,1112.0
1746937742.7708175,63,1112.0
1746937810.4426644,64,1112.0
1746937878.5655282,65,1112.0
1746937946.4778552,66,1112.0
1746938012.4249551,67,1112.0
1746938082.333823,68,1112.0
1746938148.4534256,69,1112.0
1746938213.8549616,70,1112.0
1746938352.4871175,72,1112.0
1746938417.2714088,73,1092.0
1746938475.6363504,74,963.0
1746938542.3437064,75,1112.0
1746938612.1494782,76,1112.0
1746938682.3880026,77,1112.0
1746938748.0543742,78,1112.0
1746938815.330125,79,1112.0
1746938879.4785352,80,1060.0
1746939014.9477842,82,1112.0
1746939083.0932722,83,1112.0
1746939218.5795844,85,1112.0
1746939285.160594,86,1112.0
1746939353.4665656,87,1112.0
1746939421.5248446,88,1112.0
1746939491.635796,89,1112.0
1746939559.5250375,90,1112.0
1746939694.6984515,92,1112.0
1746939761.476748,93,1112.0
1746939830.2230139,94,1112.0
1746939896.9505572,95,1112.0
1746939964.7183785,96,1112.0
1746940030.5958128,97,1112.0
1746940099.3230503,98,1112.0
1746940231.329894,100,1112.0
1746940298.9535866,101,1112.0
1746940363.5441992,102,1112.0
1746940430.2530725,103,1112.0
1746940496.8760803,104,1112.0
1746940565.0800962,105,1112.0
1746940632.7834718,106,1112.0
1746940701.3741133,107,1112.0
1746940834.8697977,109,1112.0
1746940902.5618944,110,1112.0
1746940971.1785002,111,1112.0
1746941039.041319,112,1112.0
1746941107.5444365,113,1112.0
1746941175.9975843,114,1112.0
1746941243.6268992,115,1112.0
1746941311.3915157,116,1112.0
1746941379.3949785,117,1112.0
1746941446.0637054,118,1112.0
1746941512.5090365,119,1112.0
1746941580.5572424,120,1112.0
1746941649.243992,121,1112.0
1746941704.6015844,122,884.0
1746941771.9730408,123,1112.0
1746941840.1178813,124,1112.0
1746941906.1887078,125,1112.0
1746941973.7437875,126,1112.0
1746942042.5007792,127,1112.0
1746942141.984492,128,1667.0
1746942276.8378062,130,1112.0
1746942343.2655363,131,1112.0
1746942541.1678762,134,1112.0
1746942608.2360482,135,1112.0
1746942772.2858796,137,1066.0
1746942841.125838,138,1112.0
1746942977.8667822,140,1112.0
1746943125.4330778,142,1334.0
1746943191.0634525,143,1112.0
1746943257.2662315,144,1112.0
1746943323.5025625,145,1112.0
1746943390.7334647,146,1112.0
1746943456.812369,147,1112.0
1746943593.6297607,149,1112.0
1746943691.2335718,150,1667.0
1746943792.57646,151,1667.0
1746943859.1699488,152,1112.0
1746943974.894117,154,723.0
1746944057.2541997,155,1334.0
1746944125.3579218,156,1112.0
1746944194.9294438,157,1112.0
1746944288.4676032,158,1556.0
1746944388.6414096,159,1667.0
1746944456.8333418,160,1112.0
1746944625.0446317,162,1112.0
1746944724.097933,163,1667.0
1746944863.0443861,165,1112.0
1746944929.1015747,166,1112.0
1746945063.729284,168,1112.0
1746945132.823751,169,1112.0
1746945201.30816,170,1112.0
1746945336.4184508,172,1112.0
1746945402.1646557,173,1112.0
1746945472.0240948,174,1112.0
1746945610.8703947,176,1112.0
1746945677.4265811,177,1112.0
1746945745.469753,178,1112.0
1746945816.1050436,179,1112.0
1746945952.8526103,181,1112.0
1746946018.5449016,182,1112.0
1746946086.3945363,183,1112.0
1746946157.2887137,184,1112.0
1746946225.9989092,185,1112.0
1746946289.04609,186,998.0
1746946354.9769459,187,1112.0
1746946424.142649,188,1112.0
1746946491.3202353,189,1112.0
1746946623.5964022,191,1112.0
1746946693.5623827,192,1112.0
1746946894.9279478,195,1112.0
1746947168.2442105,199,1112.0
1746947238.528692,200,1112.0
1746947376.7447228,202,1112.0
1746947447.5306218,203,1112.0
1746947513.804369,204,1112.0
1746947651.903677,206,1112.0
1746947718.2903392,207,1112.0
1746947788.4355695,208,1112.0
1746947858.2026567,209,1112.0
1746947926.645081,210,1112.0
1746948117.462512,213,1112.0
1746948188.2745523,214,1112.0
1746948256.886454,215,1112.0
1746948325.666294,216,1112.0
1746948393.8824618,217,1112.0
1746948462.6057138,218,1112.0
1746948531.2431319,219,1112.0
1746948600.226979,220,1112.0
1746948669.8044417,221,1112.0
1746948741.0360146,222,1112.0
1746948808.5145864,223,1112.0
1746948874.944682,224,1112.0
1746949012.3284285,226,1112.0
1746949081.842157,227,1112.0
1746949151.9071956,228,1112.0
1746949286.6209493,230,1112.0
1746949355.9700346,231,1112.0
1746949423.1510367,232,1112.0
1746949489.5514338,233,1112.0
1746949558.390271,234,1112.0
1746949626.148293,235,1112.0
1746949695.8154013,236,1112.0
1746949831.1926677,238,1112.0
1746949902.5881803,239,1112.0
1746950036.9841022,241,1112.0
1746950108.2019973,242,1112.0
1746950178.1322045,243,1112.0
1746950313.8601325,245,1112.0
1746950378.9438632,246,1112.0
1746950448.9493911,247,1112.0
1746950519.7887075,248,1112.0
1746950585.1466525,249,1112.0
1746950654.2481108,250,1112.0
1746950704.5953605,251,798.0
1746950769.7438204,252,1112.0
1746950836.3452299,253,1112.0
1746950904.5727563,254,1112.0
1746950969.7040782,255,1112.0
1746951039.3532715,256,1112.0
1746951106.4425492,257,1112.0
1746951240.967235,259,1112.0
1746951307.1152828,260,1112.0
1746951371.0966759,261,1112.0
1746951445.8268104,262,1112.0
1746951586.9326682,264,1112.0
1746951655.6768954,265,1112.0
1746951730.7850037,266,1112.0
1746951874.0225646,268,1112.0
1746952010.4125311,270,1112.0
1746952146.7888908,272,1112.0
1746952215.3443437,273,1112.0
1746952275.5638595,274,1112.0
1746952338.2293515,275,1112.0
1746952411.0288427,276,1112.0
1746952541.8523884,278,1112.0
1746952608.3332534,279,1112.0
1746952674.1345313,280,1112.0
1746952738.7925954,281,1112.0
1746952805.1269808,282,1112.0
1746952870.3274162,283,1112.0
1746952928.6505833,284,1112.0
1746952971.3896267,285,666.0
1746953298.2242172,290,1112.0
1746953430.666468,292,1112.0
1746953506.6372993,293,1112.0
1746953639.5810106,295,1112.0
1746953700.613357,296,1112.0
1746953763.0895157,297,1112.0
1746953828.0221848,298,1112.0
1746953887.7616863,299,1112.0
1746953952.7524216,300,1112.0
1746954017.3017929,301,1112.0
1746954082.5299954,302,1112.0
1746954143.8813589,303,1112.0
1746954206.9741135,304,1112.0
1746954271.2284591,305,1112.0
1746954461.3782313,308,1112.0
1746954522.0897925,309,1112.0
1746954584.337591,310,1112.0
1746954654.4580116,311,1112.0
1746954714.3447018,312,1112.0
1746954852.5892367,314,1112.0
1746954924.3579235,315,1112.0
1746955001.3827298,316,1112.0
