Episode,GlobalStep,EpisodeStep,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,1,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none,False,
1,2,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,3,3,-7.04,6.97,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,4,4,-7.05,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,5,5,-7.07,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,6,6,-7.08,6.95,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,7,7,-7.09,6.94,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,8,8,-7.11,6.93,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,9,9,-7.12,6.92,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,10,10,-7.14,6.91,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,11,11,-7.15,6.90,0.00,100.00,0.00,1.00,-12.00,Left,-0.66,0.00,False,False,False,none,False,
1,12,12,-7.16,6.89,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,13,13,-7.18,6.88,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,14,14,-7.19,6.87,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,15,15,-7.20,6.87,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
1,16,16,-7.22,6.86,0.00,100.00,0.00,1.00,-12.00,Right,-0.66,0.00,False,False,False,none,False,
1,17,17,-7.23,6.85,0.00,100.00,0.00,1.00,-12.00,Forward,-0.66,0.00,False,False,False,none,False,
1,18,18,-7.24,6.84,0.00,100.00,0.00,1.00,-10.13,Right,-0.66,1.87,False,False,False,none,False,
1,19,19,-7.26,6.83,0.00,100.00,0.00,1.00,-10.13,None,-0.66,0.00,False,False,False,none,False,
1,20,20,-7.27,6.82,0.00,100.00,0.00,1.00,-10.13,Left,-0.66,0.00,False,False,False,none,False,
1,21,21,-7.28,6.81,0.00,100.00,0.00,1.00,-10.13,None,-0.66,0.00,False,False,False,none,False,
1,22,22,-7.30,6.80,0.00,100.00,0.00,1.00,-10.13,Left,-0.66,0.00,False,False,False,none,False,
1,23,23,-7.31,6.79,0.00,100.00,0.00,1.00,-10.13,None,-0.67,0.00,False,False,False,none,False,
1,24,24,-7.32,6.78,0.00,100.00,0.00,1.00,-10.13,Forward,-0.67,0.00,False,False,False,none,False,
1,25,25,-7.34,6.78,0.00,100.00,-0.76,1.00,-8.42,Forward,-0.67,1.87,False,False,False,none,False,
1,26,26,-7.35,6.77,0.00,100.00,-1.52,1.00,-6.71,Forward,-0.67,1.87,False,False,False,none,False,
1,27,27,-7.36,6.76,0.08,100.00,-1.89,1.00,-5.43,Forward,-0.67,1.33,False,False,False,none,False,
1,28,28,-7.38,6.75,0.13,100.00,-1.90,1.00,-4.31,Forward,-0.67,1.13,False,False,False,none,False,
1,29,29,-7.39,6.74,0.15,100.00,-2.66,1.00,-2.60,None,-0.67,1.87,False,False,False,none,False,
1,30,30,-7.41,6.73,0.17,100.00,-2.66,1.00,-2.60,Forward,-0.67,0.00,False,False,False,none,False,
1,31,31,-7.42,6.72,0.17,100.00,-3.42,1.00,-0.89,Forward,-0.67,1.87,False,False,False,none,False,
1,32,32,-7.43,6.71,0.17,100.00,-4.18,1.00,0.82,Forward,-0.67,1.87,False,False,False,none,False,
1,33,33,-7.45,6.70,0.17,100.00,-4.95,1.00,2.53,Forward,-0.67,1.87,False,False,False,none,False,
1,34,34,-7.46,6.69,0.17,100.00,-5.71,1.00,4.24,None,-0.67,1.87,False,False,False,none,False,
1,35,35,-7.47,6.69,0.17,100.00,-5.71,1.00,4.24,None,-0.67,0.00,False,False,False,none,False,
1,36,36,-7.49,6.68,0.17,100.00,-5.71,1.00,4.24,Forward,-0.67,0.00,False,False,False,none,False,
1,37,37,-7.50,6.67,0.17,100.00,-6.47,1.00,5.95,None,-0.67,1.87,False,False,False,none,False,
1,38,38,-7.51,6.66,0.17,100.00,-6.47,1.00,5.95,Eat,-0.67,0.00,False,False,False,none,False,
1,39,39,-7.51,6.66,0.17,100.00,-6.47,1.00,5.95,Eat_Food,-0.67,0.00,True,False,True,food,False,
2,40,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,None,-0.67,19.08,False,False,True,food,False,
2,41,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,42,3,-7.04,6.97,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,43,4,-7.05,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,44,5,-7.07,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,45,6,-7.08,6.95,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,46,7,-7.09,6.94,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,47,8,-7.11,6.93,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,48,9,-7.12,6.92,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,49,10,-7.14,6.91,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,50,11,-7.15,6.90,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,51,12,-7.16,6.89,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,52,13,-7.18,6.88,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,53,14,-7.19,6.87,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,54,15,-7.20,6.87,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,55,16,-7.22,6.86,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
2,56,17,-7.23,6.85,0.00,100.00,0.00,1.00,-12.00,Forward,-0.66,0.00,False,False,False,none,False,
2,57,18,-7.24,6.84,0.00,100.00,0.00,1.00,-10.13,Forward,-0.66,1.87,False,False,False,none,False,
2,58,19,-7.26,6.83,0.00,100.00,0.00,1.00,-8.26,Forward,-0.66,1.87,False,False,False,none,False,
2,59,20,-7.27,6.82,0.00,100.00,0.00,1.00,-6.38,Left,-0.66,1.87,False,False,False,none,False,
2,60,21,-7.28,6.81,0.00,100.00,0.00,1.00,-6.38,None,-0.66,0.00,False,False,False,none,False,
2,61,22,-7.30,6.80,0.00,100.00,0.00,1.00,-6.38,None,-0.66,0.00,False,False,False,none,False,
2,62,23,-7.31,6.79,0.00,100.00,0.00,1.00,-6.38,Forward,-0.67,0.00,False,False,False,none,False,
2,63,24,-7.32,6.78,0.00,100.00,-0.32,1.00,-5.66,Forward,-0.67,0.79,False,False,False,none,False,
2,64,25,-7.34,6.78,0.00,99.14,-0.32,1.00,-5.66,Forward,-0.67,0.00,False,False,False,none,False,
2,65,26,-7.35,6.77,0.00,98.28,-0.32,1.00,-5.66,Left,-0.67,0.00,False,False,False,none,False,
2,66,27,-7.36,6.76,0.00,98.29,-0.32,1.00,-5.71,None,-0.67,0.05,False,False,False,none,False,
2,67,28,-7.38,6.75,0.00,98.30,-0.32,1.00,-5.71,Forward,-0.67,0.00,False,False,False,none,False,
2,68,29,-7.39,6.74,0.00,98.28,-0.32,1.00,-5.71,Forward,-0.67,0.00,False,False,False,none,False,
2,69,30,-7.41,6.73,0.00,98.26,-0.32,1.00,-5.71,None,-0.67,0.00,False,False,False,none,False,
2,70,31,-7.42,6.72,0.01,98.27,-0.32,1.00,-5.71,Forward,-0.67,0.00,False,False,False,none,False,
2,71,32,-7.43,6.71,0.01,98.24,-0.32,1.00,-5.71,Forward,-0.67,0.00,False,False,False,none,False,
2,72,33,-7.45,6.70,0.01,98.22,-0.32,1.00,-5.71,Left,-0.67,0.00,False,False,False,none,False,
2,73,34,-7.46,6.69,0.01,98.23,-0.32,1.00,-5.71,Forward,-0.67,0.00,False,False,False,none,False,
2,74,35,-7.47,6.69,0.03,98.24,-2.10,1.00,-5.13,Forward,-0.67,1.87,False,False,False,none,False,
2,75,36,-7.49,6.68,0.12,98.25,-1.99,1.00,-5.16,Right,-0.67,0.12,False,False,False,none,False,
2,76,37,-7.50,6.67,0.21,98.26,-1.86,1.00,-5.17,Right,-0.67,0.13,False,False,False,none,False,
2,77,38,-7.51,6.66,0.29,98.27,-1.86,1.00,-5.17,Forward,-0.67,0.00,False,False,False,none,False,
2,78,39,-7.53,6.65,0.34,98.28,-2.62,1.00,-3.46,Forward,-0.67,1.87,False,False,False,none,False,
2,79,40,-7.54,6.64,0.34,98.29,-3.38,1.00,-1.75,Forward,-0.67,1.87,False,False,False,none,False,
2,80,41,-7.55,6.63,0.34,98.30,-4.14,1.00,-0.04,Forward,-0.67,1.87,False,False,False,none,False,
2,81,42,-7.57,6.62,0.34,98.31,-4.90,1.00,1.67,Forward,-0.67,1.87,False,False,False,none,False,
2,82,43,-7.58,6.61,0.34,98.32,-5.66,1.00,3.38,Forward,-0.67,1.87,False,False,False,none,False,
2,83,44,-7.59,6.60,0.34,98.33,-6.42,1.00,5.09,Eat,-0.67,1.87,False,False,False,none,False,
2,84,45,-7.59,6.60,0.34,98.33,-6.42,1.00,5.09,Eat_Food,-0.67,0.00,True,False,True,food,False,
3,85,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,None,-0.67,18.26,False,False,True,food,False,
3,86,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,87,3,-7.04,6.97,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,88,4,-7.05,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,89,5,-7.07,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,90,6,-7.08,6.95,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,91,7,-7.09,6.94,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,92,8,-7.11,6.93,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,93,9,-7.12,6.92,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,94,10,-7.14,6.91,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,95,11,-7.15,6.90,0.00,100.00,0.00,1.00,-12.00,Left,-0.66,0.00,False,False,False,none,False,
3,96,12,-7.16,6.89,0.00,100.00,0.00,1.00,-12.00,None,-0.66,0.00,False,False,False,none,False,
3,97,13,-7.18,6.88,0.00,100.00,0.00,1.00,-12.00,Forward,-0.66,0.00,False,False,False,none,False,
3,98,14,-7.19,6.87,0.00,100.00,-0.76,1.00,-10.29,None,-0.66,1.87,False,False,False,none,False,
3,99,15,-7.20,6.87,0.00,100.00,-0.76,1.00,-10.29,Right,-0.66,0.00,False,False,False,none,False,
3,100,16,-7.22,6.86,0.00,100.00,-0.76,1.00,-10.29,None,-0.66,0.00,False,False,False,none,False,
3,101,17,-7.23,6.85,0.00,100.00,-0.76,1.00,-10.29,Forward,-0.66,0.00,False,False,False,none,False,
3,102,18,-7.24,6.84,0.00,100.00,-0.76,1.00,-8.42,Forward,-0.66,1.87,False,False,False,none,False,
3,103,19,-7.26,6.83,0.00,100.00,-0.76,1.00,-6.55,Left,-0.66,1.87,False,False,False,none,False,
3,104,20,-7.27,6.82,0.00,100.00,-0.76,1.00,-6.55,None,-0.66,0.00,False,False,False,none,False,
3,105,21,-7.28,6.81,0.00,100.00,-0.76,1.00,-6.55,Forward,-0.66,0.00,False,False,False,none,False,
3,106,22,-7.30,6.80,0.02,100.00,-1.52,1.00,-4.84,Forward,-0.66,1.87,False,False,False,none,False,
3,107,23,-7.31,6.79,0.04,100.00,-2.28,1.00,-3.13,Forward,-0.67,1.87,False,False,False,none,False,
3,108,24,-7.32,6.78,0.04,100.00,-3.05,1.00,-1.42,Forward,-0.67,1.87,False,False,False,none,False,
3,109,25,-7.34,6.78,0.04,100.00,-3.81,1.00,0.29,None,-0.67,1.87,False,False,False,none,False,
3,110,26,-7.35,6.77,0.04,100.00,-3.81,1.00,0.29,Forward,-0.67,0.00,False,False,False,none,False,
3,111,27,-7.36,6.76,0.04,100.00,-4.57,1.00,2.00,Forward,-0.67,1.87,False,False,False,none,False,
3,112,28,-7.38,6.75,0.04,100.00,-5.33,1.00,3.71,Forward,-0.67,1.87,False,False,False,none,False,
3,113,29,-7.39,6.74,0.04,100.00,-6.09,1.00,5.42,Forward,-0.67,1.87,False,False,False,none,False,
3,114,30,-7.41,6.73,0.04,100.00,-6.55,1.00,6.52,None,-0.67,1.19,False,False,False,none,False,
3,115,31,-7.42,6.72,0.04,100.00,-6.55,1.00,6.52,None,-0.67,0.00,False,False,False,none,False,
3,116,32,-7.43,6.71,0.04,100.00,-6.55,1.00,6.52,Eat,-0.67,0.00,False,False,False,none,False,
3,117,33,-7.43,6.71,0.04,100.00,-6.38,1.00,6.20,Eat_Food,-0.67,0.36,True,False,True,food,False,
