Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd
2,23,-7.16,6.89,0.00,100.00,5.33,1.00,3.71,Move_Forward,-0.02,1.87,False
2,24,-7.16,6.89,0.00,100.00,5.33,1.00,3.71,,-0.02,0.00,False
2,25,-7.18,6.88,0.00,100.00,6.09,1.00,5.42,Move_Forward,-0.02,1.87,False
2,26,-7.18,6.88,0.00,100.00,6.09,1.00,5.42,,-0.02,0.00,False
2,27,-7.19,6.87,0.00,100.00,6.55,1.00,6.52,Move_Eat,-0.02,1.19,False
2,28,-7.19,6.87,0.00,100.00,6.55,1.00,6.52,,-0.02,0.00,False
2,29,-7.19,6.87,0.00,100.00,6.44,1.00,6.35,Drink_Water,-0.02,0.20,False
2,30,-7.19,6.87,0.00,100.00,6.44,1.00,6.35,,-0.02,0.00,True
3,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.02,0.00,False
3,2,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,,-0.02,0.00,False
3,3,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False
3,4,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,,0.00,0.00,False
3,5,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Forward,0.00,1.87,False
3,6,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,,0.00,0.00,False
3,7,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Left,-0.01,1.87,False
3,8,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,,-0.01,0.00,False
3,9,-7.07,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Forward,-0.01,0.00,False
3,10,-7.07,6.96,0.00,100.00,0.00,1.00,-8.26,,-0.01,0.00,False
3,11,-7.08,6.95,0.00,100.00,-0.76,1.00,-6.55,Move_Forward,-0.01,1.87,False
3,12,-7.08,6.95,0.00,100.00,-0.76,1.00,-6.55,,-0.01,0.00,False
3,13,-7.09,6.94,0.00,100.00,-1.52,1.00,-4.84,Move_Forward,-0.01,1.87,False
3,14,-7.09,6.94,0.00,100.00,-1.52,1.00,-4.84,,-0.01,0.00,False
3,15,-7.11,6.93,0.00,100.00,-2.28,1.00,-3.13,Move_Forward,-0.01,1.87,False
3,16,-7.11,6.93,0.00,100.00,-2.28,1.00,-3.13,,-0.01,0.00,False
3,17,-7.12,6.92,0.00,100.00,-3.05,1.00,-1.42,Move_Forward,-0.01,1.87,False
3,18,-7.12,6.92,0.00,100.00,-3.05,1.00,-1.42,,-0.01,0.00,False
3,19,-7.14,6.91,0.00,100.00,-3.81,1.00,0.29,Move_Forward,-0.02,1.87,False
3,20,-7.14,6.91,0.00,100.00,-3.81,1.00,0.29,,-0.02,0.00,False
3,21,-7.15,6.90,0.00,100.00,-4.57,1.00,2.00,Move_Forward,-0.02,1.87,False
3,22,-7.15,6.90,0.00,100.00,-4.57,1.00,2.00,,-0.02,0.00,False
3,23,-7.16,6.89,0.00,100.00,-5.33,1.00,3.71,Move_Forward,-0.02,1.87,False
3,24,-7.16,6.89,0.00,100.00,-5.33,1.00,3.71,,-0.02,0.00,False
3,25,-7.18,6.88,0.00,100.00,-6.09,1.00,5.42,Move_Forward,-0.02,1.87,False
3,26,-7.18,6.88,0.00,100.00,-6.09,1.00,5.42,,-0.02,0.00,False
3,27,-7.19,6.87,0.00,100.00,-6.55,1.00,6.52,Move_Eat,-0.02,1.19,False
3,28,-7.19,6.87,0.00,100.00,-6.55,1.00,6.52,,-0.02,0.00,False
3,29,-7.19,6.87,0.00,100.00,-6.42,1.00,6.32,Eat_Food,-0.02,0.24,False
3,30,-7.19,6.87,0.00,100.00,-6.42,1.00,6.32,,-0.02,0.00,True
4,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.02,0.00,False
4,2,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,,-0.02,0.00,False
