Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType
1,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,3,-7.04,6.97,0.00,100.00,0.00,1.00,-12.00,None,0.00,0.00,False,False,False,none
1,4,-7.05,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.01,0.00,False,False,False,none
1,5,-7.07,6.96,0.00,100.00,0.00,1.00,-12.00,None,-0.01,0.00,False,False,False,none
1,6,-7.08,6.95,0.00,100.00,0.00,1.00,-12.00,None,-0.01,0.00,False,False,False,none
1,7,-7.09,6.94,0.00,100.00,0.00,1.00,-12.00,None,-0.01,0.00,False,False,False,none
1,8,-7.11,6.93,0.00,100.00,0.00,1.00,-12.00,None,-0.01,0.00,False,False,False,none
1,9,-7.12,6.92,0.00,100.00,0.00,1.00,-12.00,Left,-0.01,0.00,False,False,False,none
1,10,-7.14,6.91,0.00,100.00,0.00,1.00,-12.00,Left,-0.02,0.00,False,False,False,none
1,11,-7.15,6.90,0.00,100.00,0.00,1.00,-12.00,Forward,-0.02,0.00,False,False,False,none
1,12,-7.16,6.89,0.00,100.00,-1.39,1.00,-10.75,Forward,-0.02,1.87,False,False,False,none
1,13,-7.18,6.88,0.00,100.00,-2.78,1.00,-9.50,Forward,-0.02,1.87,False,False,False,none
1,14,-7.19,6.87,0.00,100.00,-4.17,1.00,-8.24,Right,-0.02,1.87,False,False,False,none
1,15,-7.20,6.87,0.00,100.00,-4.17,1.00,-8.24,Forward,-0.02,0.00,False,False,False,none
1,16,-7.22,6.86,0.00,100.00,-4.93,1.00,-6.53,Forward,-0.03,1.87,False,False,False,none
1,17,-7.23,6.85,0.00,100.00,-5.70,1.00,-4.82,Right,-0.03,1.87,False,False,False,none
1,18,-7.24,6.84,0.00,100.00,-5.70,1.00,-4.82,Forward,-0.03,0.00,False,False,False,none
1,19,-7.26,6.83,0.00,100.00,-5.70,1.00,-2.95,Forward,-0.03,1.87,False,False,False,none
1,20,-7.27,6.82,0.00,100.00,-5.70,1.00,-1.08,Forward,-0.03,1.87,False,False,False,none
1,21,-7.28,6.81,0.00,100.00,-5.70,1.00,0.79,Forward,-0.03,1.87,False,False,False,none
1,22,-7.30,6.80,0.00,100.00,-5.70,1.00,2.66,Forward,-0.04,1.87,False,False,False,none
1,23,-7.31,6.79,0.00,100.00,-5.70,1.00,4.54,Left,-0.04,1.87,False,False,False,none
1,24,-7.32,6.78,0.00,100.00,-5.70,1.00,4.54,Forward,-0.04,0.00,False,False,False,none
1,25,-7.34,6.78,0.00,100.00,-6.46,1.00,6.25,Forward,-0.04,1.87,False,False,False,none
1,26,-7.35,6.77,0.00,100.00,-6.49,1.00,6.73,Eat,-0.04,0.49,False,False,False,none
1,27,-7.35,6.77,0.00,100.00,-6.23,1.00,6.40,Eat_Food,-0.05,0.42,True,False,True,food
1,28,-7.35,6.77,0.00,100.00,-6.23,1.00,6.40,,-0.05,0.00,True,False,True,food
2,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,None,-0.05,0.00,False,False,True,food
2,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Forward,0.00,0.00,False,False,False,none
2,3,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Forward,0.00,1.87,False,False,False,none
2,4,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,Right,-0.01,1.87,False,False,False,none
2,5,-7.07,6.96,0.00,100.00,0.00,1.00,-8.26,Forward,-0.01,0.00,False,False,False,none
2,6,-7.08,6.95,0.00,100.00,0.76,1.00,-6.55,Forward,-0.01,1.87,False,False,False,none
2,7,-7.09,6.94,0.00,100.00,1.52,1.00,-4.84,Forward,-0.01,1.87,False,False,False,none
2,8,-7.11,6.93,0.00,100.00,2.28,1.00,-3.13,Forward,-0.01,1.87,False,False,False,none
2,9,-7.12,6.92,0.00,100.00,3.05,1.00,-1.42,Forward,-0.01,1.87,False,False,False,none
2,10,-7.14,6.91,0.00,100.00,3.81,1.00,0.29,Forward,-0.02,1.87,False,False,False,none
2,11,-7.15,6.90,0.00,100.00,4.57,1.00,2.00,Forward,-0.02,1.87,False,False,False,none
2,12,-7.16,6.89,0.00,100.00,5.33,1.00,3.71,Forward,-0.02,1.87,False,False,False,none
2,13,-7.18,6.88,0.00,100.00,6.09,1.00,5.42,Forward,-0.02,1.87,False,False,False,none
2,14,-7.19,6.87,0.00,100.00,6.55,1.00,6.52,None,-0.02,1.19,False,False,False,none
2,15,-7.20,6.87,0.00,100.00,6.55,1.00,6.52,None,-0.02,0.00,False,False,False,none
2,16,-7.22,6.86,0.00,100.00,6.55,1.00,6.52,None,-0.03,0.00,False,False,False,none
2,17,-7.23,6.85,0.00,100.00,6.55,1.00,6.52,Eat,-0.03,0.00,False,False,False,none
2,18,-7.23,6.85,0.00,100.00,6.37,1.00,6.16,Drink_Water,-0.03,0.40,True,False,True,water
2,19,-7.23,6.85,0.00,100.00,6.37,1.00,6.16,,-0.03,0.00,True,False,True,water
3,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,None,-0.03,0.00,False,False,True,water
3,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Forward,0.00,0.00,False,False,False,none
3,3,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Forward,0.00,1.87,False,False,False,none
3,4,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,Forward,-0.01,1.87,False,False,False,none
3,5,-7.07,6.96,0.00,100.00,0.00,1.00,-6.38,Forward,-0.01,1.87,False,False,False,none
3,6,-7.08,6.95,0.00,100.00,0.00,1.00,-5.49,Forward,-0.01,0.90,False,False,False,none
3,7,-7.09,6.94,0.00,96.32,0.00,1.00,-5.50,Forward,-0.01,0.01,False,False,False,none
3,8,-7.11,6.93,0.00,93.19,0.00,1.00,-5.50,Forward,-0.04,0.00,False,False,False,none
3,9,-7.12,6.92,0.00,90.07,0.00,1.00,-5.50,Forward,-0.07,0.00,False,False,False,none
3,10,-7.14,6.91,0.00,86.94,0.00,1.00,-5.50,Forward,-0.10,0.00,False,False,False,none
3,11,-7.15,6.90,0.00,83.82,0.00,1.00,-5.50,Forward,-0.13,0.00,False,False,False,none
3,12,-7.16,6.89,0.00,80.69,0.00,1.00,-5.50,Forward,-0.16,0.00,False,False,False,none
3,13,-7.18,6.88,0.00,77.56,0.00,1.00,-5.50,Forward,-0.19,0.00,False,False,False,none
3,14,-7.19,6.87,0.00,74.44,0.00,1.00,-5.50,Forward,-0.23,0.00,False,False,False,none
3,15,-7.20,6.87,0.00,71.31,0.00,1.00,-5.50,Forward,-0.26,0.00,False,False,False,none
3,16,-7.22,6.86,0.00,68.19,0.00,1.00,-5.50,Forward,-0.29,0.00,False,False,False,none
3,17,-7.23,6.85,0.00,65.06,0.00,1.00,-5.50,Forward,-0.32,0.00,False,False,False,none
3,18,-7.24,6.84,0.00,61.94,0.00,1.00,-5.50,Forward,-0.35,0.00,False,False,False,none
3,19,-7.26,6.83,0.00,58.81,0.00,1.00,-5.50,Forward,-0.38,0.00,False,False,False,none
3,20,-7.27,6.82,0.00,55.69,0.00,1.00,-5.50,Forward,-0.41,0.00,False,False,False,none
3,21,-7.28,6.81,0.00,52.56,0.00,1.00,-5.50,Forward,-0.44,0.00,False,False,False,none
3,22,-7.30,6.80,0.00,49.43,0.00,1.00,-5.50,Forward,-0.48,0.00,False,False,False,none
