Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision
2,12,-7.16,6.89,0.00,100.00,5.83,1.00,-0.78,Move_Forward,-0.02,1.87,False,False
2,13,-7.18,6.88,0.00,100.00,6.59,1.00,0.93,Move_Forward,-0.02,1.87,False,False
2,14,-7.19,6.87,0.00,100.00,7.35,1.00,2.64,Move_Left,-0.02,1.87,False,False
2,15,-7.20,6.87,0.00,100.00,7.35,1.00,2.64,Move_Left,-0.02,0.00,False,False
2,16,-7.22,6.86,0.00,100.00,7.35,1.00,2.64,Move_Forward,-0.03,0.00,False,False
2,17,-7.23,6.85,0.00,100.00,6.59,1.00,4.35,Move_Right,-0.03,1.87,False,False
2,18,-7.24,6.84,0.00,100.00,6.59,1.00,4.35,Move_Forward,-0.03,0.00,False,False
2,19,-7.26,6.83,0.00,100.00,6.59,1.00,6.22,Move_Forward,-0.03,1.87,False,False
2,20,-7.27,6.82,0.00,100.00,6.59,1.00,6.61,Move_Eat,-0.03,0.39,False,False
2,21,-7.27,6.82,0.00,100.00,6.16,1.00,6.66,Drink_Water,-0.03,0.43,False,False
2,22,-7.27,6.82,0.00,100.00,6.16,1.00,6.66,,-0.03,0.00,True,False
3,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.03,0.00,False,False
3,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False,False
3,3,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Forward,0.00,1.87,False,False
3,4,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Forward,-0.01,1.87,False,False
3,5,-7.07,6.96,0.00,100.00,0.00,1.00,-6.38,Move_Forward,-0.01,1.87,False,False
3,6,-7.08,6.95,0.00,100.00,0.00,1.00,-5.49,Move_Forward,-0.01,0.90,False,False
3,7,-7.09,6.94,0.00,96.32,0.00,1.00,-5.50,Move_Forward,-0.01,0.01,False,True
3,8,-7.11,6.93,0.00,93.19,0.00,1.00,-5.50,Move_Forward,-0.04,0.00,False,True
3,9,-7.12,6.92,0.00,90.07,0.00,1.00,-5.50,Move_Forward,-0.07,0.00,False,True
3,10,-7.14,6.91,0.00,86.94,0.00,1.00,-5.50,Move_Forward,-0.10,0.00,False,True
3,11,-7.15,6.90,0.00,83.82,0.00,1.00,-5.50,Move_Forward,-0.13,0.00,False,True
3,12,-7.16,6.89,0.00,80.69,0.00,1.00,-5.50,Move_Forward,-0.16,0.00,False,True
3,13,-7.18,6.88,0.00,77.56,0.00,1.00,-5.50,Move_Forward,-0.19,0.00,False,True
3,14,-7.19,6.87,0.00,74.44,0.00,1.00,-5.50,Move_Forward,-0.23,0.00,False,True
3,15,-7.20,6.87,0.00,71.31,0.00,1.00,-5.50,Move_Forward,-0.26,0.00,False,True
3,16,-7.22,6.86,0.00,68.19,0.00,1.00,-5.50,Move_Forward,-0.29,0.00,False,True
3,17,-7.23,6.85,0.00,65.06,0.00,1.00,-5.50,Move_Forward,-0.32,0.00,False,True
3,18,-7.24,6.84,0.00,61.94,0.00,1.00,-5.50,Move_Forward,-0.35,0.00,False,True
3,19,-7.26,6.83,0.00,58.81,0.00,1.00,-5.50,Move_Forward,-0.38,0.00,False,True
3,20,-7.27,6.82,0.00,55.69,0.00,1.00,-5.50,Move_Forward,-0.41,0.00,False,True
3,21,-7.28,6.81,0.00,52.56,0.00,1.00,-5.50,Move_Left,-0.44,0.00,False,True
3,22,-7.30,6.80,0.00,52.57,0.00,1.00,-5.66,Move_Left,-0.48,0.16,False,True
3,23,-7.31,6.79,0.00,52.58,0.00,1.00,-5.71,Move_Left,-0.48,0.05,False,True
3,24,-7.32,6.78,0.00,52.59,0.00,1.00,-5.71,Move_Forward,-0.48,0.00,False,False
3,25,-7.34,6.78,0.00,52.60,-1.78,1.00,-5.13,Move_Forward,-0.48,1.87,False,False
3,26,-7.35,6.77,0.00,52.61,-3.56,1.00,-4.55,Move_Right,-0.48,1.87,False,False
3,27,-7.36,6.76,0.00,52.62,-3.56,1.00,-4.55,Move_Forward,-0.48,0.00,False,False
3,28,-7.38,6.75,0.00,52.63,-4.95,1.00,-3.30,Move_Right,-0.48,1.87,False,False
3,29,-7.39,6.74,0.00,52.64,-4.95,1.00,-3.30,Move_Forward,-0.48,0.00,False,False
3,30,-7.41,6.73,0.00,52.65,-5.71,1.00,-1.59,Move_Forward,-0.48,1.87,False,False
3,31,-7.42,6.72,0.00,52.66,-6.47,1.00,0.12,Move_Right,-0.48,1.87,False,False
3,32,-7.43,6.71,0.00,52.67,-6.47,1.00,0.12,Move_Forward,-0.48,0.00,False,False
3,33,-7.45,6.70,0.00,52.68,-6.47,1.00,1.99,Move_Forward,-0.48,1.87,False,False
3,34,-7.46,6.69,0.00,52.69,-6.47,1.00,3.87,Move_Left,-0.48,1.87,False,False
3,35,-7.47,6.69,0.00,52.70,-6.47,1.00,3.87,Move_Forward,-0.48,0.00,False,False
3,36,-7.49,6.68,0.00,52.71,-7.24,1.00,5.58,Move_Right,-0.48,1.87,False,False
3,37,-7.50,6.67,0.00,52.72,-7.24,1.00,5.58,Move_None,-0.48,0.00,False,False
