Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType
1,1,-0.01,-0.01,0.00,100.00,6.29,1.00,49.02,None,0.00,0.00,False,False,False,none
1,2,-0.03,-0.02,-0.06,100.00,6.29,1.00,49.02,None,0.00,0.00,False,False,False,none
1,3,-0.04,-0.03,-0.13,100.00,6.29,1.00,49.02,None,0.00,0.00,False,False,False,none
1,4,-0.05,-0.04,-0.19,100.00,6.29,1.00,49.02,None,-0.01,0.00,False,False,False,none
1,5,-0.07,-0.05,-0.25,100.00,6.29,1.00,49.02,None,-0.01,0.00,False,False,False,none
1,6,-0.08,-0.05,-0.32,100.00,6.29,1.00,49.02,None,-0.02,0.00,False,False,False,none
1,7,-0.09,-0.06,-0.38,100.00,6.29,1.00,49.02,None,-0.02,0.00,False,False,False,none
1,8,-0.11,-0.07,-0.44,100.00,6.29,1.00,49.02,None,-0.03,0.00,False,False,False,none
1,9,-0.12,-0.08,-0.51,100.00,6.29,1.00,49.02,None,-0.03,0.00,False,False,False,none
1,10,-0.14,-0.09,-0.57,100.00,6.29,1.00,49.02,None,-0.04,0.00,False,False,False,none
1,11,-0.15,-0.10,-0.63,100.00,6.29,1.00,49.02,Right,-0.04,0.00,False,False,False,none
1,12,-0.16,-0.11,-0.69,100.00,6.29,1.00,49.02,Right,-0.04,0.00,False,False,False,none
1,13,-0.18,-0.12,-0.75,100.00,6.29,1.00,49.02,Forward,-0.05,0.00,False,False,False,none
1,14,-0.19,-0.13,-0.82,100.00,7.77,1.00,47.87,Forward,-0.05,1.87,False,False,False,none
1,15,-0.20,-0.14,-0.88,100.00,9.25,1.00,46.72,Forward,-0.06,1.87,False,False,False,none
1,16,-0.22,-0.14,-0.94,100.00,10.72,1.00,45.58,Right,-0.06,1.87,False,False,False,none
