Wall time,Step,Value
1742907126.801795,1,1333.0
1742907516.0303078,2,912.0
1742907548.6652682,3,73.0
1742908001.8191812,4,1112.0
1742908449.495122,5,1112.0
1742909084.9478123,6,1556.0
1742909533.1011484,7,1112.0
1742909994.2704396,8,1112.0
1742910468.8168213,9,1112.0
1742910917.2941437,10,1112.0
1742911182.7893708,11,658.0
1742911632.6642437,12,1112.0
1742912080.8462367,13,1112.0
1742912530.0894215,14,1112.0
1742913000.5557399,15,1112.0
1742913456.9539511,16,1112.0
1742913906.5467684,17,1112.0
1742914357.2963033,18,1112.0
1742914810.7428079,19,1112.0
1742915348.1608126,20,1334.0
1742915735.891437,21,957.0
1742916186.1335795,22,1112.0
1742916638.5491023,23,1112.0
1742917309.908292,24,1667.0
1742917760.511124,25,1112.0
1742918301.2528515,26,1334.0
1742918748.5400937,27,1112.0
1742919199.4782324,28,1112.0
1742919649.9580595,29,1112.0
1742920102.6006863,30,1112.0
1742920519.9109619,31,1029.0
1742920971.7995875,32,1112.0
1742921420.724584,33,1112.0
1742921885.089577,34,1112.0
1742922334.3145807,35,1112.0
1742922786.74722,36,1112.0
1742923323.721225,37,1334.0
1742923773.2181404,38,1112.0
1742924094.1749706,39,774.0
1742924542.7677302,40,1112.0
1742924991.2481952,41,1112.0
1742925442.2164588,42,1112.0
1742925746.2879052,43,749.0
1742926287.1732962,44,1334.0
1742926741.4865665,45,1112.0
1742927465.245876,46,1778.0
1742927549.8269997,47,201.0
1742928003.133712,48,1112.0
1742928453.322688,49,1112.0
1742928799.881806,50,839.0
1742929248.502954,51,1112.0
1742929699.4959424,52,1112.0
1742930245.1652644,53,1334.0
1742930646.6376026,54,987.0
1742931191.5254705,55,1334.0
1742931730.4121213,56,1334.0
1742932180.9631464,57,1112.0
1742932630.376862,58,1112.0
1742933190.165604,59,1334.0
1742933672.56337,60,1112.0
1742934149.5430648,61,1112.0
1742934324.2809055,62,424.0
1742934777.4617355,63,1112.0
1742935251.8100123,64,1112.0
1742935795.237296,65,1334.0
1742936450.793375,66,1556.0
1742936999.6729934,67,1334.0
1742937625.6552477,68,1556.0
1742938074.9686716,69,1112.0
1742938567.572953,70,1112.0
1742939295.4202085,71,1778.0
1742940119.476631,72,2001.0
1742940574.0553985,73,1112.0
1742941034.5035079,74,1112.0
1742941582.2225945,75,1334.0
1742942043.5225759,76,1112.0
1742942491.678676,77,1112.0
1742942944.9869475,78,1112.0
1742943411.464046,79,1112.0
1742943872.2864542,80,1112.0
1742944414.9895551,81,1334.0
1742944868.8684807,82,1112.0
1742945510.280645,83,1556.0
1742946185.3243928,84,1667.0
1742946449.5673518,85,641.0
1742946990.3455565,86,1334.0
1742947562.62147,87,1334.0
1742948214.6511352,88,1334.0
1742948697.2290053,89,1112.0
1742949251.2471209,90,1334.0
1742949795.557914,91,1334.0
1742950718.1044526,92,2223.0
1742951358.3881736,93,1556.0
1742952106.1029744,94,1778.0
1742952664.9532506,95,1334.0
1742953804.6702597,96,2667.0
1742954322.7157137,97,1112.0
1742954816.8792157,98,1112.0
1742955560.45549,99,1112.0
1742956259.344756,100,1550.0
1742956912.0499475,101,1556.0
1742957268.8790772,102,815.0
1742957740.4676805,103,1112.0
1742958556.6636002,104,2001.0
1742959037.3805404,105,1192.0
1742959670.0783217,106,1556.0
1742960354.8684232,107,1667.0
1742960910.8650954,108,1334.0
1742961371.0380428,109,1107.0
1742964666.1339023,110,1778.0
