Wall time,Step,Value
1746790186.3732593,1,858.0
1746790471.7470236,2,565.0
1746790775.082479,3,483.0
1746791129.8109603,4,574.0
1746791446.1574664,5,512.0
1746791715.598277,6,435.0
1746792227.2164497,7,827.0
1746792265.2599974,8,59.0
1746792581.6482558,9,515.0
1746792923.003362,10,552.0
1746793209.9311957,11,464.0
1746793524.17137,12,509.0
1746793842.1441941,13,517.0
1746794138.2874815,14,480.0
1746794397.0222547,15,420.0
1746795270.7457461,16,1417.0
1746795519.6020682,17,403.0
1746795788.354784,18,435.0
1746796062.6014328,19,443.0
1746796631.3178995,20,744.0
1746798153.9896314,21,2361.0
1746798547.946159,22,598.0
1746798926.7043777,23,454.0
1746799363.6954808,24,705.0
1746799655.1787763,25,470.0
1746800612.6497607,26,1547.0
1746801129.979431,27,836.0
1746801421.1878436,28,470.0
1746801768.6793997,29,561.0
1746802594.2468631,30,1332.0
1746803039.861522,31,717.0
1746803781.152835,32,1194.0
1746804622.4699888,33,1360.0
1746804900.0917087,34,448.0
1746805171.7988393,35,437.0
1746805447.7036054,36,443.0
1746805702.6806815,37,409.0
1746806401.3267107,38,1128.0
1746808685.4199476,39,1770.0
1746809146.2218523,40,502.0
1746809677.9387732,41,688.0
1746810131.0697794,42,728.0
1746810425.393248,43,470.0
1746811252.9223478,44,1336.0
1746811552.4491897,45,481.0
1746811830.591945,46,449.0
1746812078.065909,47,398.0
1746812656.7775233,48,931.0
1746812981.6878376,49,521.0
1746813233.9854746,50,405.0
1746813607.7539032,51,600.0
1746813858.3759167,52,401.0
1746813959.2720332,53,160.0
1746814672.2626095,54,1149.0
1746815015.3427775,55,552.0
1746815615.4592779,56,964.0
1746816327.8528972,57,1151.0
1746816602.766833,58,443.0
1746816890.8346748,59,463.0
1746817594.5863533,60,1133.0
1746818048.9584901,61,733.0
1746818234.361086,62,296.0
1746819351.7617009,63,1804.0
1746819655.6735668,64,488.0
1746819985.3914168,65,529.0
1746821119.604304,66,1830.0
