Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
42,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,1,1.80,5.81,62.73,2.61,27.05,MaxStepReached,0,0
43,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.00,1.60,67.54,1.20,28.66,MaxStepReached,0,0
44,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.20,3.21,61.32,1.20,32.06,MaxStepReached,0,0
45,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.20,1.20,65.33,2.00,29.26,MaxStepReached,0,0
46,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,4.21,62.93,3.41,27.45,MaxStepReached,0,0
47,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.20,2.20,65.13,1.80,28.66,MaxStepReached,0,0
48,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,3.81,2.40,62.93,2.20,28.66,MaxStepReached,0,0
49,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.61,1.40,64.73,2.00,29.26,MaxStepReached,0,0
50,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.60,1.60,64.73,2.20,29.86,MaxStepReached,0,0
51,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.20,3.01,62.73,2.40,30.66,MaxStepReached,0,0
52,500,-0.44,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,1,2.20,3.21,62.53,3.21,28.86,MaxStepReached,0,0
53,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.60,2.61,65.53,1.40,28.86,MaxStepReached,0,0
54,500,-0.44,0.00,-0.88,0,0,-13.74,2.51,0.00,87.36,7,1.20,8.42,79.76,1.60,9.02,MaxStepReached,0,0
55,500,-0.43,0.00,-0.88,0,0,-13.74,2.51,0.00,100.00,0,1.00,2.40,64.33,2.00,30.26,MaxStepReached,0,0
56,500,-0.44,0.00,-0.87,0,0,-13.74,2.51,0.00,95.47,3,1.80,3.41,65.13,2.20,27.45,MaxStepReached,0,0
