Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,350,-0.73,0.00,-1.18,6,7,1.29,5.86,0.00,93.22,6,14.36,43.37,12.71,20.72,5.25,MaxStepReached,0,0
2,350,-0.47,-0.07,-1.18,6,6,1.29,2.86,0.00,100.00,0,19.94,35.73,20.22,15.51,5.26,MaxStepReached,0,0
3,350,-0.48,-0.09,-1.17,6,6,1.29,2.86,0.00,100.00,0,19.67,41.83,9.14,19.39,6.65,MaxStepReached,0,0
4,350,-0.45,-0.10,-1.17,6,6,1.29,2.86,0.00,100.00,2,18.28,37.95,21.88,11.91,6.65,MaxStepReached,0,0
5,350,-0.46,-0.06,-1.18,5,5,-1.71,-0.14,0.00,100.00,0,41.23,28.41,13.65,9.19,4.74,MaxStepReached,0,0
