Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,300,-0.39,0.00,-0.94,0,0,0.96,2.31,0.94,100.00,0,55.85,19.40,16.39,8.36,0.00,MaxStepReached,0,0
2,300,-0.41,-0.17,-0.94,0,0,0.96,2.31,-0.19,98.75,1,64.21,16.72,12.37,6.69,0.00,MaxStepReached,0,0
3,300,-0.38,-0.17,-0.94,0,0,0.96,2.31,2.28,95.93,2,65.22,17.06,1.34,16.39,0.00,MaxStepReached,0,0
4,300,-0.40,-0.17,-0.94,0,0,0.96,2.31,0.23,100.00,0,58.19,19.06,1.00,21.74,0.00,MaxStepReached,0,0
5,300,-0.39,-0.17,-0.94,0,0,0.96,2.31,0.48,100.00,0,56.86,18.06,5.02,20.07,0.00,MaxStepReached,0,0
